Ouvrage,Latitude,Longitude,Region
10079451,-34.3300728,142.386847,NSW
10079943,-35.6389,149.7999,NSW
10080367,-34.3265116,142.3787777,NSW
10080453,-32.3166797,142.4862857,NSW
10080477,-30.9384258,150.5297436,NSW
10081367,-34.1141022,141.4001573,NSW
10081831,-34.0438516,141.4790997,NSW
10081945,-34.0041128,141.3640892,NSW
10082610,-34.0253027,141.3315499,NSW
10082884,-34.0459083,141.2936444,NSW
10085114,-34.3327876,142.3748151,NSW
10085558,-34.1568575,142.1567271,NSW
10085576,-34.0907483,141.4793637,NSW
10085740,-34.0252944,141.3315499,NSW
10085776,-34.1568575,142.1567271,NSW
10085790,-34.0820091,141.4070517,NSW
10085791,-34.114418,141.4805815,NSW
10086901,-34.114418,141.4805815,NSW
10087332,-33.5915833,148.5970527,NSW
10087390,-34.3311555,142.3590042,NSW
10087725,-34.1092718,141.8150353,NSW
10087960,-34.1009018,142.0418352,NSW
10088198,-34.8147138,146.7246972,NSW
10088640,-34.2340111,142.4690777,NSW
10088681,-31.2114766,151.1002895,NSW
10090040,-34.5821485,150.5303416,NSW
10090097,-33.4889527,147.5364166,NSW
10090422,-35.0468249,147.1158333,NSW
10090591,-34.1722779,142.1634256,NSW
10090929,-31.2131433,151.099734,NSW
10091018,-31.2484204,151.1802886,NSW
10091135,-34.2340111,142.4690777,NSW
10091219,-33.5340687,147.9832387,NSW
10091529,-31.1575885,150.9372366,NSW
10091618,-34.1124782,141.812941,NSW
10091646,-33.5340687,147.9832387,NSW
10091968,-34.1132822,141.8127426,NSW
10092139,-31.2175876,151.1194558,NSW
10092215,-31.1261991,150.9916795,NSW
10092345,-34.142559,142.1592653,NSW
10092532,-34.0235555,141.3261643,NSW
10092540,-33.9675666,141.0489055,NSW
10092635,-34.6806777,146.2117527,NSW
10092642,-30.9133,150.2944,NSW
10092726,-30.9300892,150.8477917,NSW
10092727,-30.9664781,150.857792,NSW
10092898,-30.9434231,150.8052929,NSW
10093953,-33.5915833,148.5970527,NSW
10093975,-34.1092718,141.8150353,NSW
10095036,-34.1036749,142.0444372,NSW
10095097,-34.0235499,141.3261722,NSW
10095098,-34.0977851,142.0420628,NSW
10095163,-31.3036983,151.1505679,NSW
10095246,-36.7066,149.8869,NSW
10095684,-34.76365,146.1039777,NSW
10095686,-34.76365,146.1039777,NSW
10095735,-33.9657194,141.0446722,NSW
10095744,-36.7066,149.8869,NSW
10095986,-31.2642535,151.2027884,NSW
10096710,-33.9642527,141.3186055,NSW
10096711,-34.0982269,142.0382018,NSW
10097066,-31.3036984,151.145568,NSW
10097191,-31.1823099,151.0666787,NSW
10097407,-31.3036983,151.1539012,NSW
10097408,-33.5978777,148.5956611,NSW
10097516,-34.1357694,142.1604,NSW
10097522,-34.1357694,142.1604,NSW
10097562,-35.40259,146.08925,NSW
10097604,-34.1094824,141.8063528,NSW
10097606,-33.5978777,148.5956611,NSW
10097737,-36.6671,149.8424,NSW
10097895,-33.5915833,148.5970527,NSW
10097960,-31.3036984,151.1477902,NSW
10097961,-33.6039972,148.5946638,NSW
10098209,-34.1009018,142.0418352,NSW
10098242,-34.0982269,142.0382018,NSW
10098269,-33.9651388,141.3168249,NSW
10098456,-34.1036749,142.0444372,NSW
10098635,-31.1370325,150.9905687,NSW
10098644,-34.5017272,150.324736,NSW
10098670,-34.1099553,141.8139577,NSW
10099148,-34.09187,141.6907949,NSW
10099752,-30.9673114,150.8630697,NSW
10100151,-33.9651305,141.3168138,NSW
10100485,-33.6039972,148.5946638,NSW
10101139,-34.6345333,146.0909138,NSW
10101171,-34.7434,146.28944,NSW
10101172,-33.4778641,145.6525742,NSW
10101173,-30.2853,145.7364,NSW
10101221,-34.5017272,150.324736,NSW
10101245,-36.6671,149.8424,NSW
10101711,-33.7973855,141.9771298,NSW
10101810,-34.2621694,145.2999222,NSW
10101852,-30.9475898,150.8044597,NSW
10101853,-30.9312003,150.8483472,NSW
10101855,-32.4327,142.34917,NSW
10101894,-31.2028658,151.0264021,NSW
10101973,-34.9358472,146.0416888,NSW
10102194,-33.2643838,147.3642506,NSW
10102364,-33.4885335,148.0546001,NSW
10102403,-30.9659226,150.8519588,NSW
10102473,-31.0830913,150.911797,NSW
10102894,-34.2621694,145.2999222,NSW
10103445,-30.9662004,150.8539032,NSW
10103855,-33.2789048,147.5127929,NSW
10103977,-31.0139782,150.8511259,NSW
10104087,-33.4885335,148.0546001,NSW
10104746,-33.3469799,147.7032285,NSW
10105078,-33.8168299,142.0157407,NSW
10105159,-33.4885335,148.0546001,NSW
10106077,-35.963744,146.5459829,NSW
10106312,-34.3457188,142.3996335,NSW
10106363,-34.69664,146.34222,NSW
10106658,-31.1670331,150.9266813,NSW
10107011,-35.103183,147.391136,NSW
10107332,-36.0615184,146.9579218,NSW
10107688,-35.1683861,145.1228249,NSW
10107791,-33.2773466,147.4851989,NSW
10108058,-33.3469799,147.7032285,NSW
10108059,-33.2789048,147.5127929,NSW
10108502,-31.0811996,150.9130692,NSW
10108872,-31.2106436,151.0244578,NSW
10110653,-34.3457188,142.3996335,NSW
10110728,-34.2344444,142.4744694,NSW
10110750,-35.1683861,145.1228249,NSW
10111109,-33.4151081,148.1436971,NSW
10111227,-33.3939646,147.7805617,NSW
10111405,-33.277886,147.4290165,NSW
10111708,-35.7188672,146.8675684,NSW
10111837,-29.8371277,148.2722861,NSW
10111980,-34.923998,146.957102,NSW
10112250,-33.3145685,145.8412209,NSW
10112261,-30.9959218,150.9164016,NSW
10112504,-33.4151081,148.1436971,NSW
10112728,-30.9873299,150.4421686,NSW
10112738,-34.1666393,142.1589218,NSW
10112739,-34.0041128,141.3640892,NSW
10112887,-34.0939522,141.6829635,NSW
10112978,-31.063143,151.0558441,NSW
10113315,-33.3939646,147.7805617,NSW
10114741,-34.765644,146.54004,NSW
10114916,-29.5397027,148.6495833,NSW
10115628,-35.108287,147.466995,NSW
10115811,-33.2773466,147.4851989,NSW
10115997,-33.9396947,141.411351,NSW
10116359,-31.0820329,150.9127914,NSW
10116383,-31.1023106,150.9330693,NSW
10116406,-34.923998,146.957102,NSW
10116862,-33.3619813,145.5586352,NSW
10117518,-33.4151081,148.1436971,NSW
10117889,-35.7184617,146.8640295,NSW
10118246,-31.0017546,150.981956,NSW
10118430,-34.0911053,141.6904744,NSW
10118712,-33.2594766,145.8572557,NSW
10120782,-35.7184617,146.8640295,NSW
10121048,-34.1710199,142.1611194,NSW
10122054,-34.0911053,141.6904744,NSW
10122983,-34.328218,142.3899108,NSW
10123411,-34.0968411,141.6904884,NSW
10123980,-34.9680577,149.0328191,NSW
10124106,-34.329308,142.3827039,NSW
10124371,-34.329308,142.3827039,NSW
10125247,-34.3269345,142.3612458,NSW
10125366,-34.3259083,142.3725999,NSW
10125412,-34.3276626,142.3718555,NSW
10125695,-34.3279403,142.3785221,NSW
10125839,-33.9283351,141.3702584,NSW
10126281,-30.1634306,149.4555861,NSW
10126291,-34.593523,142.752835,NSW
10126625,-34.3333456,142.3933927,NSW
10127041,-34.5484481,142.8948533,NSW
10127269,-34.3246068,142.3732443,NSW
10127453,-31.105644,150.9319583,NSW
10128292,-34.3279403,142.3785221,NSW
10128310,-35.7148504,146.8790292,NSW
10128522,-33.4202456,145.5184618,NSW
10128762,-34.3293293,142.3787999,NSW
10128783,-33.4202456,145.5184618,NSW
10128877,-34.4980735,142.8110096,NSW
10128955,-34.3251624,142.3682444,NSW
10129019,-35.7206754,146.8641046,NSW
10129853,-34.4763706,142.8073482,NSW
10129909,-31.1103662,150.9289029,NSW
10130816,-34.3310507,142.3880805,NSW
10131106,-33.4202456,145.5184618,NSW
10131121,-34.7599867,146.5409854,NSW
10131787,-29.9201033,148.7592084,NSW
10131952,-29.9201033,148.7592084,NSW
10131954,-33.4374472,147.4465307,NSW
10132024,-33.4374472,147.4465307,NSW
10132168,-33.8205728,148.6271393,NSW
10132231,-34.3332063,142.391368,NSW
10132276,-33.6703477,148.5830491,NSW
10132434,-34.3217861,145.7413611,NSW
10132583,-34.3217861,145.7413611,NSW
10132924,-33.6703477,148.5830491,NSW
10133715,-34.3294548,142.3784781,NSW
10133717,-31.1792543,151.067512,NSW
10133899,-34.2284194,142.4781166,NSW
10134301,-34.3180722,142.3538555,NSW
10134368,-31.1792543,151.067512,NSW
10134599,-34.3258888,142.3725999,NSW
10134994,-33.4125479,147.8137225,NSW
10135056,-31.1775876,151.0680675,NSW
10135303,-34.5870138,142.8946608,NSW
10135351,-34.2284194,142.4781166,NSW
10135427,-34.3180722,142.3538555,NSW
10135444,-34.3317031,142.3855478,NSW
10135513,-34.2489999,142.4574194,NSW
10136463,-34.1283728,142.1877058,NSW
10136654,-34.2343499,142.4733777,NSW
10136656,-33.9283921,141.3507838,NSW
10136725,-35.4905111,144.6755444,NSW
10136735,-34.3304798,142.3732632,NSW
10137023,-34.6265999,145.9593527,NSW
10137035,-33.3958675,145.5518718,NSW
10137198,-33.3449888,145.7473138,NSW
10137230,-35.102165,147.494109,NSW
10137232,-29.9878854,148.7419863,NSW
10137233,-30.210375,149.5386417,NSW
10137253,-34.6194623,145.3953613,NSW
10137469,-33.4370859,148.2229741,NSW
10137626,-33.4415415,147.4806135,NSW
10137637,-30.1894,149.5448,NSW
10137731,-33.3232262,147.6357694,NSW
10137774,-29.5101024,149.8583521,NSW
10137801,-34.5480833,145.7269333,NSW
10137830,-34.169523,142.1714814,NSW
10138061,-33.4125479,147.8137225,NSW
10138119,-33.9558474,141.3687539,NSW
10138121,-34.5087659,142.7655045,NSW
10138397,-34.1277182,141.481199,NSW
10138398,-33.4889527,147.5364166,NSW
10138545,-29.9201033,148.7592084,NSW
10138667,-33.6086392,148.531277,NSW
10138707,-33.3939646,147.7805617,NSW
10138768,-33.4374472,147.4465307,NSW
10138783,-33.5978777,148.5956611,NSW
10138786,-33.2594766,145.8572557,NSW
10138803,-35.7184617,146.8640295,NSW
10138821,-35.7148504,146.8790292,NSW
10138829,-33.4515,148.0818,NSW
10138842,-35.6641035,145.3456237,NSW
10138847,-34.1766828,142.1629869,NSW
10138979,-34.2621694,145.2999222,NSW
10139069,-33.4125479,147.8137225,NSW
10139289,-30.496,150.0824,NSW
10139292,-34.2829111,142.4301638,NSW
10139325,-31.071066,150.374153,NSW
10139415,-34.1568575,142.1567271,NSW
10139416,-34.0907483,141.4793637,NSW
10139417,-33.6039972,148.5946638,NSW
10139563,-34.9679407,149.0328052,NSW
10139592,-35.4905111,144.6755444,NSW
10139597,-34.3304798,142.3732632,NSW
10139642,-33.5537296,142.2005363,NSW
10139783,-33.3958675,145.5518718,NSW
10139787,-33.4885335,148.0546001,NSW
10139788,-33.3469799,147.7032285,NSW
10139830,-34.7419916,145.9577777,NSW
10139849,-34.8400194,146.0142888,NSW
10139851,-33.5340687,147.9832387,NSW
10139852,-34.6345333,146.0909138,NSW
10139854,-33.6703477,148.5830491,NSW
10139884,-34.0438516,141.4790997,NSW
10140061,-34.765644,146.54004,NSW
10140062,-34.1141022,141.4001573,NSW
10140088,-35.8901333,146.4384834,NSW
10140118,-34.923998,146.957102,NSW
10140993,-33.1257532,147.1281275,NSW
10142806,-29.9234364,148.7930968,NSW
10142992,-29.9234364,148.7930968,NSW
10143466,-34.8404333,146.0141638,NSW
10144100,-34.8240805,145.9817833,NSW
10145015,-34.2336077,142.4639988,NSW
10145107,-35.0496361,144.1059027,NSW
10145270,-35.0496361,144.1059027,NSW
10145447,-34.7018277,145.2665861,NSW
10145787,-34.8227388,145.9704388,NSW
10145788,-34.8240805,145.9817833,NSW
10146405,-34.3191861,142.3881083,NSW
10146630,-33.4465719,147.515124,NSW
10146825,-33.4465719,147.515124,NSW
